Id,Designator,Footprint,Quantity,Designation,Partnumber,Mouser
1,S1,KAD08LHGT,1,KAD08LHGT,KAD08LHGT,612-KAD08LHGT
2,D4,D_0805,1,RED,LTST-C170KRKT,859-LTST-C170KRKT
3,C19,C_1206,1,100uF,GRM31CR61A107MEA8L,81-GRM31CR61A107MA8L
4,J3,PinHeader_2x07_P2.54mm_Vertical,1,Header_2.54mm,10-89-7140,538-10-89-7140 
5,R2,R_0805,1,1k,AC0805JR-071KL,603-AC0805JR-071KL
6,J1,9455511123,1,9455511123,9455511123,617-09455511123
7,"C20,C17",C_0805,2,10uF,C0805C106K8RAC7210,80-C0805C106K8R7210
8,"JB1,JB2",LSHM-150-04.0-L-DV-A-S-K-TR,2,LSHM-150-04.0-L-DV-A-S-K-TR,LSHM-150-04.0-L-DV-A-S-K-TR,200-LSHM15004LDVASK
9,R44,R_0805,1,1.1k, RC0805JR-071K1L,603-RC0805JR-071K1L
10,J5,39-30-020,1,39-30-0020,39-30-0020,538-39-30-0020
11,R11,R_0805,1,0R,AC0805JR-070RL,603-AC0805JR-070RL
12,R14,R_0805,1,1.5k,AC0805JR-071K5L,603-AC0805JR-071K5L
13,"D1,D2",D_0805,2,GREEN,LTST-C171GKT,859-LTST-C171GKT
14,U11,LP38693MP-3.3-NOPB,1,LP38693MP-3.3-NOPB,LP38693MP-3.3/NOPB,926-38693MP-3.3/NOPB
15,D3,D_0805,1,ORANGE,LTST-C170KFKT,859-LTST-C170KFKT
16,"R4,R1,R3,R5,R33",R_0805,5,100k,AC0805JR-07100KL,603-AC0805JR-07100KL
17,"C8,C5,C10,C18,C14,C1,C12,C11,C7,C2,C9,C3,C13",C_0805,13,0.1uF,C0805C104J5RACTU,80-C0805C104J5R
18,"R18,R21,R47,R20,R27,R22,R49,R6,R52,R26,R51,R48,R50,R46",R_0805,14,10k,AC0805JR-0710KL,603-AC0805JR-0710KL
19,"C16,C15,C6",C_0805,3,1uF,C0805C105J4RAC7210,80-C0805C105J4RACLR
20,U6,TMP100NA3K,1,TMP100NA/3K,TMP100NA/3K,595-TMP100NA/3K
21,"R9,R10",R_0805,2,750R,AC0805JR-07750RL,603-AC0805JR-07750RL
22,R19,R_1206,1,0R,AC1206FR-070RL,603-AC1206FR-070RL
23,D5,D_0805,1,BLUE,LTST-C171TBKT,859-LTST-C171TBKT
24,J2,10025026-10201TLF,1,10025026-10201TLF,10025026-10201TLF,649-1025026-10201TLF
25,R43,R_0805,1,1.8k,AC0805JR-071K8L,603-AC0805JR-071K8L
26,R12,R_0805,1,470R,SR0805JR-7W470RL,603-SR0805JR-7W470RL
27,U12,MIC29302AWD,1,MIC29302AWD,MIC29302AWD,998-MIC29302AWD
28,"R29,R8,R7,R23,R17,R13",R_0805,6,100R,AR0805JR-07100RL,603-AR0805JR-07100RL
29,U1,TCA9535PWR,1,TCA9535PWR,TCA9535PWR,595-TCA9535PWR
30,"U7,U4",SN65HVD30MDREP,2,SN65HVD30MDREP,SN65HVD30MDREP,595-SN65HVD30MDREP
31,RSENSE1,R_1206,1,0.02R,PA1206FRE070R02Z,603-1206FRE070R02Z
32,U5,SN74AXC8T245QPWRQ1,1,SN74AXC8T245QPWRQ1,SN74AXC8T245QPWRQ1,595-74AXC8T245QPWRQ1
33,"U10,U8",SN65HVD232D,2,SN65HVD232D,SN65HVD232DR,595-SN65HVD232DR
34,U9,P82B96DR,1,P82B96DR,P82B96DR,595-P82B96DR
35,C4,C_0805,1,0.039uF,GRM2195C2A393JE01J,81-GRM2195C2A393JE1J
36,U13,INA219BIDR,1,INA219BIDR,INA219BIDR,595-INA219BIDR
37,U2,SN65LVDT14PW,1,SN65LVDT14PW,SN65LVDT14PW,595-SN65LVDT14PW
38,U3,TPS35AA38AGADDFRQ1,1,TPS35AA38AGADDFRQ1,TPS35AA38AGADDFRQ1,595-S35AA38AGADDFRQ1
