Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805",144.525969,-78.334031,-90.000000,bottom
"C2","0.1uF","C_0805",113.025969,-78.274031,90.000000,bottom
"C3","0.1uF","C_0805",113.025969,-82.534031,-90.000000,bottom
"C4","0.039uF","C_0805",110.315969,-91.914031,180.000000,bottom
"C5","0.1uF","C_0805",114.345969,-88.794031,180.000000,bottom
"C6","1uF","C_0805",110.335969,-89.794031,180.000000,bottom
"C7","0.1uF","C_0805",138.165969,-73.404031,180.000000,bottom
"C9","0.1uF","C_0805",123.325969,-76.554031,-90.000000,bottom
"C10","0.1uF","C_0805",111.195969,-75.074031,180.000000,bottom
"C11","0.1uF","C_0805",131.975969,-49.034031,180.000000,bottom
"C12","0.1uF","C_0805",141.785969,-73.234031,0.000000,bottom
"C13","0.1uF","C_0805",143.259969,-62.034031,0.000000,bottom
"C14","0.1uF","C_0805",143.259969,-58.934031,0.000000,bottom
"C17","10uF","C_0805",117.005969,-65.054031,180.000000,bottom
"C18","0.1uF","C_0805",112.375969,-60.434031,180.000000,bottom
"R5","100k","R_0805",106.175969,-47.774031,180.000000,bottom
"R6","10k","R_0805",144.575969,-74.354031,90.000000,bottom
"R7","100R","R_0805",131.225969,-70.434031,90.000000,bottom
"R8","100R","R_0805",131.225969,-66.834031,90.000000,bottom
"R13","100R","R_0805",131.225969,-55.834031,90.000000,bottom
"R17","100R","R_0805",131.225969,-52.234031,90.000000,bottom
"R20","10k","R_0805",104.285969,-88.834031,-90.000000,bottom
"R21","10k","R_0805",131.225969,-59.434031,-90.000000,bottom
"R22","10k","R_0805",128.925969,-59.434031,-90.000000,bottom
"R23","100R","R_0805",131.225969,-63.234031,-90.000000,bottom
"R26","10k","R_0805",144.125969,-46.134031,-90.000000,bottom
"R27","10k","R_0805",141.625969,-46.134031,-90.000000,bottom
"R29","100R","R_0805",129.425969,-45.934031,0.000000,bottom
"R33","100k","R_0805",121.455969,-62.274031,0.000000,bottom
"R46","10k","R_0805",111.975969,-49.734031,0.000000,bottom
"R47","10k","R_0805",107.975969,-49.724031,0.000000,bottom
"R48","10k","R_0805",106.465969,-55.234031,90.000000,bottom
"R49","10k","R_0805",104.105969,-55.234031,90.000000,bottom
"R50","10k","R_0805",102.645969,-48.744031,-90.000000,bottom
"R51","10k","R_0805",100.265969,-48.744031,-90.000000,bottom
"R52","10k","R_0805",98.115969,-48.744031,-90.000000,bottom
"RSENSE1","0.02R","R_1206",112.325969,-56.834031,90.000000,bottom
"U1","TCA9535PWR","TCA9535PWR",139.175969,-78.924031,90.000000,bottom
"U2","SN65LVDT14PW","SN65LVDT14PW",118.187969,-80.294031,180.000000,bottom
