"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R1,R4,R6,R5,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1k";;;
2;"H2,H3,H4,H1";"MountingHole_2.7mm_Pad";4;"MountingHole_Pad";;;
3;"J3";"5710500";1;"571-0100";;;
4;"J2";"5710500";1;"571-0500";;;
5;"LED6,LED4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"ORANGE";;;
6;"REF**";"Fiducial_0.5mm_Mask1.5mm";1;"Fiducial_0.5mm_Mask1.5mm";;;
7;"C7,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1u";;;
8;"J7";"IDC-Header_2x05_P2.54mm_Horizontal";1;"Conn_02x05_Odd_Even";;;
9;"J5";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Barrel_Jack_Switch";;;
10;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"Header_2.54mm";;;
11;"LED1,LED2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"GREEN";;;
12;"J1";"09455511123";1;"09455511123";;;
13;"U14";"SN65LVDT41PW";1;"SN65LVDT41PW";;;
14;"U2";"FT4232H-56Q-Module";1;"FT4232H-56Q-Module";;;
15;"U1";"SMF2000";1;"SMF2000";;;
16;"LED3,LED5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"BLUE";;;
17;"R19,R15,R18,R16,R20,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10kR";;;
18;"U9,U5";"SN65HVD30MDREP";2;"SN65HVD30MDREP";;;
19;"C8,C11,C9,C10,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"0.1uF";;;
20;"U12,U11";"SN65HVD232D";2;"SN65HVD232D";;;
21;"R9,R12,R13,R14,R10,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"100R";;;
22;"U10";"P82B96DR";1;"P82B96DR";;;
