Nevents Nevents		DNevents	Dsigma x F	Sigma x F	
	Lower	Upper	Lower	Upper	Lower	Upper	Lower	Upper
0	0	3.69	0	3.69	0	3.69	0	3.69
1	0.025	5.57	0.975	4.57	0.98	4.57	0.02	5.57
2	0.24	7.22	1.76	5.22	1.77	5.23	0.23	7.23
3	0.62	8.77	2.38	5.77	2.4	5.78	0.6	8.78
4	1.09	10.2	2.91	6.24	2.94	6.25	1.06	10.3
5	1.62	11.7	3.38	6.67	3.41	6.69	1.59	11.7
6	2.2	13.1	3.8	7.06	3.85	7.08	2.15	13.1
7	2.81	14.4	4.19	7.42	4.24	7.46	2.76	14.5
8	3.45	15.8	4.55	7.76	4.62	7.8	3.38	15.8
9	4.12	17.1	4.88	8.08	4.97	8.13	4.03	17.1
10	4.8	18.4	5.2	8.39	5.3	8.45	4.7	18.4
20	12.2	30.9	7.78	10.9	8.04	11.1	12	31.1
30	20.2	42.8	9.76	12.8	10.2	13.2	19.8	43.2
40	28.6	54.5	11.4	14.5	12.1	15	27.9	55
50	37.1	65.9	12.9	15.9	13.8	16.7	36.2	66.7
60	45.8	77.2	14.2	17.2	15.4	18.2	44.6	78.2
70	54.6	88.4	15.4	18.4	16.9	19.7	53.1	89.7
80	63.4	99.6	16.6	19.6	18.4	21.1	61.6	101
90	72.4	111	17.6	20.6	19.8	22.5	70.2	113
100	81.4	122	18.6	21.6	21.1	23.8	78.9	124
200	173	230	26.8	29.7	33.4	35.8	167	236
300	267	336	33	35.9	44.6	46.8	255	347
400	362	441	38.2	41.2	55.3	57.4	345	457
500	457	546	42.9	45.8	66	68	434	568
600	553	650	47.1	50	76	78	524	678
700	649	754	50.9	53.8	87	88	613	788
800	746	857	54.5	57.4	97	98	703	898
900	842	961	57.8	60.8	107	109	793	1009
1000	939	1064	61	64	117	119	883	1119
2000	1913	2090	86.7	89.6	218	219	1782	2219
3000	2894	3109	106	109	318	319	2682	3319
4000	3877	4126	123	126	418	419	3582	4419
5000	4862	5141	138	141	519	519	4481	5519
6000	5849	6154	151	154	619	619	5381	6619
7000	6837	7166	163	166	719	719	6281	7719
8000	7826	8177	174	177	819	819	7181	8819
9000	8815	9188	185	188	919	919	8081	9919
10000	9805	10198	195	198	1019	1019	8981	11019
